SEQ_NO,FINAN_YEAR,ADMNSTMACH_CD,ADMNSTMACH_NM,TOT_ANEXPTR_BUDGET_PRICE,BEFORE_YEAR_ANEXPTR_BUDGET_PRICE,ANEXPTR_BUDGET_IRDS_RT,CLTUR_TURSM_BUDGET_PRICE,BEFORE_YEAR_CLTUR_TURSM_BUDGET_PRICE,CLTUR_TURSM_BUDGET_IRDS_RT,CLTUR_TURSM_BUDGET_RATE,TOT_POPLTN_CO,ONE_PSNBY_CLTUR_TURSM_BUDGET_PRICE
29,2016,2614000000,부산광역시 서구,213945473000,207404271000,3.15,55500000,40600000,36.7,0.03,112973,491
30,2016,2617000000,부산광역시 동구,196046933000,193339693000,1.4,53530000,30229000,77.08,0.03,89826,596
31,2016,2620000000,부산광역시 영도구,222524011000,204299782000,8.92,87920000,0,,0.04,126362,696
32,2016,2623000000,부산광역시 부산진구,416000530000,396571863000,4.9,36691000,734050000,-95,0.01,376526,97
33,2016,2626000000,부산광역시 동래구,300229388000,276960442000,8.4,99795000,49369000,102.14,0.03,272745,366
34,2016,2629000000,부산광역시 남구,270417968000,251734943000,7.42,42370000,37140000,14.08,0.02,278779,152
35,2016,2632000000,부산광역시 북구,341727305000,301149761000,13.47,68870000,83353000,-17.38,0.02,310202,222
36,2016,2635000000,부산광역시 해운대구,436491104000,412895098000,5.71,28704000,377600000,-92.4,0.01,419853,68
37,2016,2638000000,부산광역시 사하구,383123877000,352996362000,8.53,141355000,36119000,291.36,0.04,334603,422
38,2016,2641000000,부산광역시 금정구,309784804000,284375232000,8.94,1014568000,1467234000,-30.85,0.33,244624,4147
39,2016,2644000000,부산광역시 강서구,228727696000,209313647000,9.28,44460000,45300000,-1.85,0.02,108909,408
40,2016,2647000000,부산광역시 연제구,262205928000,248944727000,5.33,16350000,82000000,-80.06,0.01,207268,79
41,2016,2650000000,부산광역시 수영구,219118791000,198976382000,10.12,76905000,102848000,-25.22,0.04,179324,429
42,2016,2653000000,부산광역시 사상구,302835063000,279928602000,8.18,46956000,31995000,46.76,0.02,232800,202
43,2016,2671000000,부산광역시 기장군,481830919000,431229673000,11.73,351812000,949932000,-62.96,0.07,158527,2219
44,2016,2700000000,대구광역시,7222588409000,6400498917000,12.84,6884235000,4424019000,55.61,0.1,2484557,2771
45,2016,2711000000,대구광역시 중구,192616093000,177446743000,8.55,311132000,382355000,-18.63,0.16,79712,3903
46,2016,2714000000,대구광역시 동구,466326919000,427679479000,9.04,950820000,1870677000,-49.17,0.2,351352,2706
47,2016,2717000000,대구광역시 서구,292259190000,273157375000,6.99,0,0,,0,199507,0
