"fclty_id","fclty_nm","area_addr","ctprvn_cd","ctprvn_nm","signgu_cd","signgu_nm","adstrd_cd","adstrd_nm","fclty_la","fclty_lo"
"KP0511","더 서울라이티움 (갤러리아포레 G층 전용관)","서울특별시 성동구 서울숲2길 32-14 (성수동1가, 갤러리아 포레) B2","11","서울특별시","11040","성동구","1104065","성수1가1동","37.5457261","127.0423333"
"KP0512","동부여성문화회관","대구광역시 동구 신암북로11길 54-2 (신암동) 대구광역시동부여성문화회관","22","대구광역시","22020","동구","2202051","신암1동","35.8904493","128.6222921"
"KP0513","도봉구민회관","서울특별시 도봉구 도봉로 552 (창동)","11","서울특별시","11100","도봉구","1110059","창1동","37.6541068","127.0384528"
"KP0514","동덕여자대학교 백주년기념관","서울특별시 성북구 화랑로13길 60 (하월곡동) ","11","서울특별시","11080","성북구","1108071","월곡1동","37.60559328","127.0408887"
"KP0515","동리국악당","전라북도 고창군 고창읍 판소리길 20","35","전라북도","35370","고창군","3537011","고창읍","35.4317151","126.7023439"
"KP0516","더드림핑","경기도 남양주시 화도읍 북한강로 1630-18 ","31","경기도","31130","남양주시","3113013","화도읍","37.6525229","127.3702665"
"KP0517","동구청소년수련관","인천광역시 동구 솔빛로 82 (송림동)","23","인천광역시","23020","동구","2302058","송림1동","37.476063","126.6425916"
"KP0518","덕호아트홀","대구광역시 수성구 명덕로 443-3 (수성동3가)","22","대구광역시","22060","수성구","2206059","수성2·3가동","35.854732","128.6185618"
"KP0520","더페이지 갤러리","서울특별시 성동구 서울숲2길 32-14 (성수동1가, 갤러리아 포레) G205","11","서울특별시","11040","성동구","1104065","성수1가1동","37.5457261","127.0423333"
"KP0521","동대문구체육관","서울특별시 동대문구 답십리로 210-3 (답십리동) ","11","서울특별시","11060","동대문구","1106086","답십리2동","37.5723256","127.0640118"
"KP0522","동대문구문화회관","서울특별시 동대문구 답십리로 210-9 (답십리동) 동대문구문화회관 ","11","서울특별시","11060","동대문구","1106086","답십리2동","37.5718046","127.0637959"
"KP0523","순천문화예술회관","전라남도 순천시 삼산로 16 (석현동)","36","전라남도","36030","순천시","3603055","삼산동","34.9705248","127.4852864"
"KP0524","동대문구민회관","서울특별시 동대문구 장한로18길 82-9 (장안동)","11","서울특별시","11060","동대문구","1106087","장안1동","37.5672385","127.0733795"
"KP0525","동구청공연장 [대전]","대전광역시 동구 동구청로 147 (가오동) 12층","25","대전광역시","25010","동구","2501053","효동","36.312169","127.454884"
"KP0526","더케이호텔 [서울]","서울특별시 서초구 바우뫼로12길 70 (양재동) ","11","서울특별시","11220","서초구","1122066","양재1동","37.46621551","127.0328264"
"KP0527","더 바이널 언더그라운드","부산광역시 남구 수영로322번길 32 (대연동) ","21","부산광역시","21070","남구","2107070","대연1동","35.1363909","129.1019231"
"KP0528","더마파크","제주특별자치도 제주시 한림읍 월림7길 155 ","39","제주특별자치도","39010","제주시","3901011","한림읍","33.35496901","126.2425945"
"KP0529","동양예술극장(구. 아트센터K)","서울특별시 종로구 대학로14길 29","11","서울특별시","11010","종로구","1101073","혜화동","37.5846388","127.0023098"
"KP0530","디엔지홀(DNG HALL)","서울특별시 송파구 오금로 195 (방이동)","11","서울특별시","11240","송파구","1124057","방이1동","37.5084389","127.1160958"
"KP0531","디코소극장","부산광역시 수영구 황령대로 493 (남천동)","21","부산광역시","21140","수영구","2114051","남천1동","35.1382984","129.107915"
"KP0532","드림시어터 [대학로]","서울특별시 종로구 대학로10길 15 - 11 ","11","서울특별시","11010","종로구","1101064","이화동","37.5822652","127.0027883"
"KP0533","드림아트홀","대전광역시 중구 선화서로 2 (대흥동)","25","대전광역시","25020","중구","2502055","대흥동","36.3243989","127.4204426"
"KP0534","두잇아카펠라 Abar","서울특별시 종로구 성균관로 18 (명륜2가) ","11","서울특별시","11010","종로구","1101073","혜화동","37.5844025","126.9976533"
"KP0535","동욱홀","경기도 부천시 길주로561번길 24 (여월동)","31","경기도","31050","부천시","3105095","성곡동","37.5076839","126.8054905"
"KP0536","동춘서커스 빅탑극장","경기도 안산시 단원구 대부황금로 1432 (대부북동)","31","경기도","31092","안산시 단원구","3109272","대부동","37.2839226","126.5699949"
"KP0537","동해문화예술회관","강원도 동해시 평원로 15 (천곡동)","32","강원도","32040","동해시","3204051","천곡동","37.5264508","129.1152191"
"KP0538","동숭무대소극장","서울특별시 종로구 혜화로 35 (명륜1가)","11","서울특별시","11010","종로구","1101073","혜화동","37.5886979","126.999179"
"KP0539","디 마르가리따","서울특별시 서초구 효령로 202 (서초동) 지하1층","11","서울특별시","11220","서초구","1122051","서초1동","37.4828475","127.006434"
"KP0540","동화소극장","서울특별시 종로구 성균관로 6-5 (명륜2가)","11","서울특별시","11010","종로구","1101073","혜화동","37.5837817","126.9985886"
"KP0541","두산아트센터","서울특별시 종로구 종로33길 15 (연지동) ","11","서울특별시","11010","종로구","1101063","종로5·6가동","37.5718135","127.0010162"
"KP0542","동아대학교 부민캠퍼스","부산광역시 서구 구덕로 225 (부민동2가)","21","부산광역시","21020","서구","2102059","부민동","35.1049071","129.0187732"
"KP0543","떼아뜨르 다락 소극장","인천광역시 중구 신포로27번길 3 (중앙동4가)","23","인천광역시","23010","중구","2301053","신포동","37.471468","126.6247259"
"KP0544","동해시청소년수련관","강원도 동해시 승지로 315 - 0 동해청소년수련관","32","강원도","32040","동해시","3204054","부곡동","37.5370355","129.0703672"
"KP0545","동서울아트홀","서울특별시 광진구 구의강변로 38 (구의동)","11","서울특별시","11050","광진구","1105060","구의1동","37.5341697","127.0919072"
"KP0546","디큐브아트센터","서울특별시 구로구 경인로 662 (신도림동, 디큐브시티)","11","서울특별시","11170","구로구","1117051","신도림동","37.5083236","126.8884274"
"KP0547","두리춤터","서울특별시 서초구 동광로19길 15 (방배동) ","11","서울특별시","11220","서초구","1122053","서초3동","37.493114","126.9891653"
"KP0548","드림씨어터 [부산]","부산광역시 남구 전포대로 133 (문현동) ","21","부산광역시","21070","남구","2107066","문현1동","35.1482643","129.0654411"
"KP0549","드림홀","서울특별시 마포구 양화로 64 (서교동) 서교제일빌딩 지하2층","11","서울특별시","11140","마포구","1114066","서교동","37.5503019","126.9159023"
"KP0550","떼아뜨르 분도","대구광역시 중구 동덕로 36-15 (대봉동)","22","대구광역시","22010","중구","2201068","대봉1동","35.8588205","128.605795"
"KP0551","동성로 야외무대","대구광역시 중구 동성로 30 (동성로2가)","22","대구광역시","22010","중구","2201056","성내1동","35.8693302","128.5959688"
"KP0552","떼아뜨로중구","대구광역시 중구 종로 30 (종로2가)","22","대구광역시","22010","중구","2201059","성내2동","35.8684997","128.5919746"
"KP0553","동자아트홀","서울특별시 용산구 한강대로 372 (동자동, 센트레빌아스테리움서울)","11","서울특별시","11030","용산구","1103053","남영동","37.5513775","126.9736404"
"KP0554","라까사 호텔","서울특별시 강남구 도산대로1길 83 (신사동) ","11","서울특별시","11230","강남구","1123051","신사동","37.5221247","127.0194875"
"KP0555","레미어린이극장 [금천]","서울특별시 금천구 두산로 71 (독산동)","11","서울특별시","11180","금천구","1118052","독산1동","37.4706228","126.8956736"
"KP0556","라디오가가홀","서울특별시 마포구 양화로11길 54 (서교동) ","11","서울특별시","11140","마포구","1114066","서교동","37.5522769","126.9138474"
"KP0557","라트어린이극장","서울특별시 강남구 논현로 164 (도곡동)","11","서울특별시","11230","강남구","1123066","도곡1동","37.4843035","127.0423307"
"KP0558","라이브 썸데이즈홀 (구. 이수ENT)","서울특별시 종로구 대학로12길 10 지하1층","11","서울특별시","11010","종로구","1101064","이화동","37.5825398","127.002666"
"KP0559","랑씨어터","서울특별시 동대문구 회기로 129 (회기동)","11","서울특별시","11060","동대문구","1106071","회기동","37.5915914","127.0509489"
"KP0560","렛츠런파크 서울","경기도 과천시 경마공원대로 107 (주암동) ","31","경기도","31110","과천시","3111055","과천동","37.4476355","127.0157085"
"KP0561","라마다호텔 [서울]","서울특별시 강남구 봉은사로 410 (삼성동) ","11","서울특별시","11230","강남구","1123058","삼성1동","37.5103523","127.0452665"
"KP0562","레몬트리소극장","부산광역시 수영구 수영로 421-1 (남천동)","21","부산광역시","21140","수영구","2114051","남천1동","35.1437145","129.1089673"
"KP0563","라이크디즈1601","서울특별시 중구 서소문로 116 (서소문동) 유원빌딩","11","서울특별시","11020","중구","1102052","소공동","37.5627337","126.9740244"
"KP0564","롤링홀","서울특별시 마포구 어울마당로 35 (서교동) 지하 1층","11","서울특별시","11140","마포구","1114066","서교동","37.5484855","126.9201438"
"KP0565","레미어린이극장 [부산]","부산광역시 부산진구 신천대로 241 (부암동)","21","부산광역시","21050","부산진구","2105064","부암1동","35.1633085","129.0493226"
"KP0566","로운아뜨리움","서울특별시 양천구 목동서로 225 (목동) ","11","서울특별시","11150","양천구","1115051","목1동","37.5271002","126.8707822"
"KP0567","라이브홀 오즈","부산 부산진구 부전로 94 영동프라자 B1 오즈홀 1관","21","부산광역시","21050","부산진구","2105052","부전2동","35.158494","129.0550028"
"KP0568","락왕","대구광역시 중구 명덕로 111 (남산동) 지하1층","22","대구광역시","22010","중구","2201064","남산1동","35.8568489","128.5824278"
"KP0569","레미어린이극장 [월드컵]","광주광역시 서구 금화로 240 (풍암동)","24","광주광역시","24020","서구","2402067","풍암동","35.1337232","126.8748916"
