RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,ALL_TURSM_TOUR_EXPNDTR_INTEN_VALUE,DMSTC_TURSM_TOUR_EXPNDTR_INTEN_VALUE,OVSEA_TURSM_TOUR_EXPNDTR_INTEN_VALUE
53355643,20230227,M,50대,충청남도(세종시 포함),500이상700만원 미만,약간 더 많이,비슷하게,비슷하게
53355695,20230227,M,60대,경상북도,500이상700만원 미만,약간 더 많이,약간 더 많이,약간 더 많이
53356016,20230227,M,30대,경상북도,500이상700만원 미만,약간 더 많이,약간 더 적게,약간 더 적게
53356092,20230227,M,30대,울산광역시,300이상500만원 미만,약간 더 많이,약간 더 많이,비슷하게
53356373,20230227,M,40대,경기도,500이상700만원 미만,약간 더 많이,훨씬 더 많이,훨씬 더 많이
53356377,20230227,M,30대,서울특별시,500이상700만원 미만,약간 더 많이,약간 더 많이,약간 더 많이
53356433,20230227,F,60대,강원도,500이상700만원 미만,비슷하게,약간 더 많이,약간 더 많이
53356472,20230227,M,40대,경기도,300이상500만원 미만,약간 더 적게,약간 더 적게,약간 더 적게
53356570,20230227,M,20대,대전광역시,모름,비슷하게,비슷하게,비슷하게
53356595,20230227,M,20대,서울특별시,700만원 이상,비슷하게,비슷하게,비슷하게
53356747,20230227,M,60대,경기도,700만원 이상,약간 더 적게,약간 더 많이,훨씬 더 적게
53356880,20230227,F,30대,충청남도(세종시 포함),700만원 이상,약간 더 많이,약간 더 많이,약간 더 많이
53356927,20230227,M,50대,전라남도,300이상500만원 미만,약간 더 많이,약간 더 많이,약간 더 많이
53357036,20230227,M,60대,울산광역시,300이상500만원 미만,약간 더 많이,비슷하게,약간 더 많이
53357312,20230227,F,40대,경상북도,500이상700만원 미만,약간 더 많이,비슷하게,훨씬 더 많이
53357433,20230227,F,40대,인천광역시,700만원 이상,비슷하게,비슷하게,약간 더 많이
53357475,20230227,F,50대,경상북도,500이상700만원 미만,약간 더 많이,비슷하게,약간 더 많이
53357492,20230227,M,60대,대구광역시,500이상700만원 미만,약간 더 적게,훨씬 더 적게,훨씬 더 적게
53357496,20230227,F,20대,부산광역시,500이상700만원 미만,약간 더 적게,약간 더 많이,약간 더 많이
53357568,20230227,F,40대,대전광역시,700만원 이상,훨씬 더 적게,약간 더 적게,약간 더 적게
53357626,20230227,F,60대,울산광역시,500이상700만원 미만,훨씬 더 많이,비슷하게,훨씬 더 많이
53357699,20230227,M,30대,인천광역시,300이상500만원 미만,비슷하게,약간 더 많이,약간 더 많이
53357887,20230227,F,20대,전라북도,300이상500만원 미만,약간 더 많이,훨씬 더 많이,약간 더 많이
53357939,20230227,F,20대,부산광역시,모름,약간 더 많이,훨씬 더 많이,훨씬 더 많이
53358104,20230227,M,40대,대구광역시,300이상500만원 미만,약간 더 적게,비슷하게,약간 더 적게
53358272,20230227,F,30대,인천광역시,300이상500만원 미만,비슷하게,비슷하게,비슷하게
53358732,20230227,F,20대,울산광역시,700만원 이상,훨씬 더 많이,약간 더 많이,훨씬 더 많이
53359487,20230227,F,50대,경기도,700만원 이상,훨씬 더 많이,훨씬 더 많이,훨씬 더 많이
